"帳票名","仕訳日記帳"
"書式名","汎用形式"
"事業所名","㈱コムテックエンタープライズ"
"処理日時","2026/09/09","14:05:26"
"検索条件",""
"集計期間","2025/07/01","2026/06/30","決算仕訳を含む"
"当日仕訳","NO"
"[表題行]","日付","伝票No.","決算","調整","付箋1","付箋2","タイプ","生成元","借方勘定科目","借方補助科目","借方部門","借方税区分","借方税計算区分","借方金額","借方税額","貸方勘定科目","貸方補助科目","貸方部門","貸方税区分","貸方税計算区分","貸方金額","貸方税額","摘要","請求書区分","仕入税額控除","期日","番号","仕訳メモ","作業日付","仕訳番号"
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",643,,"楽天カード","","","対象外","",643,,"楽天ＳＰ　ファミリーマートアプリ","","","",,"","2026/03/19",25280
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",429,,"楽天カード","","","対象外","",429,,"楽天ＳＰ　ファミリーマートアプリ","","","",,"","2026/03/19",25281
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",1966,,"楽天カード","","","対象外","",1966,,"ヤクルト届けてネット（名古屋）","","","",,"","2026/03/19",25282
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","貸付金","","","対象外","",11720,,"楽天カード","","","対象外","",11720,,"ﾅｺﾞﾔｴｷｻｲｶｲﾋﾞﾖｳｲﾝ","","","",,"","2026/03/19",25283
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",890,,"楽天カード","","","対象外","",890,,"楽天ＳＰ　楽天ペイ加盟店","","","",,"","2026/08/23",28090
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","旅費交通費","","","課対仕入10%","",1900,,"楽天カード","","","対象外","",1900,,"ｱｲﾎﾟｽﾊﾟ-ｷﾝｸﾞ","","","",,"","2026/03/19",25285
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","貸付金","","","対象外","",230,,"楽天カード","","","対象外","",230,,"ﾅｺﾞﾔｴｷｻｲｶｲﾋﾞﾖｳｲﾝ","","","",,"","2026/03/19",25286
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",430,,"楽天カード","","","対象外","",430,,"楽天ＳＰ　ファミリーマートアプリ","","","",,"","2026/03/19",25287
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",416,,"楽天カード","","","対象外","",416,,"楽天ＳＰ　楽天ペイアプリセブン－イレブン","","","",,"","2026/03/19",25288
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",780,,"楽天カード","","","対象外","",780,,"楽天ＳＰ　サガミレストランツアプリ","","","",,"","2026/08/23",28089
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",330,,"楽天カード","","","対象外","",330,,"楽天ＳＰ　ダイソーアプリ","","","",,"","2026/03/19",25290
